ID;Title;Abstract
31;Student modeling in open-ended learning environments;
32;Individualized Recommender Systems for Teaching: A Systematic Literature Mapping;This paper aims to comprehensively study the current research in individualized recommender systems for education. The study uses a systematic mapping method to classify and organize the literature on this topic. The analysis is based on the frequency of publications within the classification scheme, using 1583 articles from the leading scientific databases of the last five years. The main techniques, tools, and strategies employed in creating and implementing these systems will be identified through this study. Understanding the present status of research in this field is crucial to support these systems' future development.
33;Learning Analytics and Collaborative Groups of Learners in Distance Education: A Systematic Mapping Study;Advances in information and communication technologies have contributed to the increasing use of virtual learning environments as support tools in teaching and learning processes. Virtual platforms generate a large volume of educational data, and the analysis of this data allows useful information discoveries to improve learning and assist institutions in reducing disqualifications and dropouts in distance education courses. This article presents the results of a systematic mapping study aiming to identify how educational data mining, learning analytics, and collaborative groups have been applied in distance education environments. Articles were searched from 2010 to June 2020, initially resulting in 55,832 works. The selection of 51 articles for complete reading in order to answer the research questions considered a group of inclusion and exclusion criteria. Main results indicated that 53\% of articles (27/51) offered intelligent services in the field of distance education, 47\% (24/51) applied methods and analysis techniques in distance education environments, 21\% (11/51) applied methods and analysis techniques focused on virtual learning environments logs and 5\% (3/51) presented intelligent collaborative services for identification and creation of groups. This article also identified research interest clusters with highlights for the terms recommendation systems, data analysis, e-learning, educational data mining, e-learning platform and learning management system.
34;Do personal recommendations need to be personalized? Investigating the relationships between student differences and educational recommendations;Educational recommender systems have been supporting personalized learning in various ways. However, less discussion is conducted about whether and how to personalize the strategies to generate recommendations based on student differences. In this study, we aim at investigating how students judge recommendations based on different strategies, and how these judgments relate to student characteristics. We conducted a large-scale questionnaire survey to measure students' Big-Five personality traits, confidence in the subjects, and their judgments on six types of recommendations. The answers collected from 735 high school students in Japan indicate that students had different judgments across different recommendation strategies, but similarly for English and mathematics. Furthermore, the correlations between student characteristics and their judgments on recommendations were stronger if the subject to learn was inconsistent with the subject they preferred. The results provide insights on how to design educational recommendations that not only cater to students' traits, but also help foster and enhance their traits for better learning.
35;Beyond recommendation acceptance: explanation's learning effects in a math recommender system;Recommender systems can provide personalized advice on learning for individual students. Providing explanations of those recommendations are expected to increase the transparency and persuasiveness of the system, thus improve students' adoption of the recommendation. Little research has explored the explanations' practical effects on learning performance except for the acceptance of recommended learning activities. The recommendation explanations can improve the learning performance if the explanations are designed to contribute to relevant learning skills. This study conducted a comparative experiment (N = 276) in high school classrooms, aiming to investigate whether the use of an explainable math recommender system improves students' learning performance. We found that the presence of the explanations had positive effects on students' learning improvement and perceptions of the systems, but not the number of solved quizzes during the learning task. These results imply the possibility that the recommendation explanations may affect students' meta-cognitive skills and their perceptions, which further contribute to students' learning improvement. When separating the students based on their prior math abilities, we found a significant correlation between the number of viewed recommendations and the final learning improvement for the students with lower math abilities. This indicates that the students with lower math abilities may benefit from reading their learning progress indicated in the explanations. For students with higher math abilities, their learning improvement was more related to the behavior to select and solve recommended quizzes, which indicates a necessity of more sophisticated and interactive recommender system.
36;Recommendation System model integrated with Active Methodologies, EDM, and Learning Analytics for dropout mitigation in Distance Education;Distance Education enabled educational practices based on digital platforms. Despite its wide adoption, the high dropout rates are a reason for concern for teachers and institutional managers. There are initiatives to mitigate this situation, such as Educational Data Mining (EDM), Learning Analytics (LA), and the use of Recommendation Systems (RS). Although effective in specific aspects, these techniques lack mechanisms for students' motivation and pedagogical intervention by teachers, as they do not present methodological proposals to encourage learning. Therefore, this article describes an RS model that shows a differential integration of the pedagogical approach of Active Methodologies with the support of Educational Data Mining and Learning Analytics techniques to identify students with dropout risks and enhance permanence. For this, a prototype was implemented, and a case study was carried out with professors from two universities to assess functionality and acceptance. According to the TAM Model, more than 87\% of teachers agree with the ease of use, and 77\% agree that RS can be helpful in students' teaching and learning process. Therefore, the model contributes to teaching practices, encourages collaborative learning, and favors monitoring this process and the activities developed by the students.
37;Personalized and Automated Feedback in Summative Assessment Using Recommender Systems;In this study we explore the use of recommender systems as a means of providing automated and personalized feedback to students following summative assessment. The intended feedback is a personalized set of test questions (items) for each student that they could benefit from practicing with. Recommended items can be beneficial for students as they can support their learning process by targeting specific gaps in their knowledge, especially when there is little time to get feedback from instructors. The items are recommended using several commonly used recommender system algorithms, and are based on the students' scores in a summative assessment. The results show that in the context of the Dutch secondary education final examinations, item recommendations can be made to students with an acceptable level of model performance. Furthermore, it does not take a computationally complex model to do so: a simple baseline model which takes into account global, student-specific, and item-specific averages obtained similar performance to more complex models. Overall, we conclude that recommender systems are a promising tool for helping students in their learning process by combining multiple data sources and new methodologies, without putting additional strain on their instructors.
38;A Hybridized Deep Learning Strategy for Course Recommendation;Recommender systems have been actively used in many areas like e-commerce, movie and video suggestions, and have proven to be highly useful for its users. But the use of recommender systems in online learning platforms is often underrated and less likely used. But many of the times it lacks personalisation especially in collaborative approach while content-based doesn't work well for new users. Therefore, the authors propose a hybrid course recommender system for this problem which takes content as well as collaborative approaches and tackles their individual limitations. The authors see recommendation as a sequential problem and thus have used RNNs for solving the problem. Each recommendation can be seen as the new course in the sequence. The results suggest it outperforms other recommender systems when using LSTMs instead of RNNs. The authors develop and test the recommendation system using the Kaggle dataset of users for grouping similar users as historical data and search history of different users' data.
39;Beyond the Classroom: Inspiring Medical and Health Science Students to Learn Surface Anatomy;This qualitative and quantitative study offered students the opportunity to participate in engaging and inspiring activities ``outside the classroom '' , to extend their experience and knowledge of surface anatomy. Medical and health science students benefit from studying surface anatomy as it is relevant to their future professions that deal with patients and clients. Surface anatomy is an essential part of the learning process that allows students an opportunity to identify anatomical structures on living people and to develop their palpation and tactile skills for physical examinations of patients. Body painting is a student-centred, engaging, and motivating approach to learn surface anatomy in anatomy practical classes. In this study, anatomy learning was extended ``beyond the classroom '' through extra-curricular body painting projects. These projects were run by student teams consisting of a student model, student artists (4-5), and a student photographer, under the direction of the chief investigator. A total of sixteen body painting projects were carried out from 2010 to show the skeletal system, the muscular system, pregnancy, respiratory and gastrointestinal systems, and the neurovascular systems of the entire body. A SurveyMonkey of 31/41 active participants suggested that participants enjoyed the projects (94-100\%), found them relevant to their future profession (80-87\%), and considered them to assist with deeper understanding (94\%) and long-term memory (93\%) of anatomy. Learning anatomy outside the classroom through extra-curricular body painting projects was a successful way to engage, motivate, and inspire participants and first year anatomy students to study surface anatomy and to develop their physical examination skills.
40;Designing a recommender system to promote self-regulated learning in online contexts: A design-based study;Self-regulated learning (SRL) is a prerequisite for successful learning. However, studies have reported that many students struggle with self-regulation in online learning, indicating the need to provide students with additional support for SRL. This study adopted a design-based research methodology to iteratively design, implement, and evaluate different SRL recommendation designs. The main study consisted of three cycles, which were conducted in a fully online graduate course. Eighty-one students who enrolled in this course over three semesters participated in the study. The qualitative results generated from student interviews were assessed immediately after each cycle, and students' perceptions were adopted to refine the design of next cycle. The quantitative results were analyzed after the last cycle of the study to examine the effects of different SRL recommendation designs on students' SRL skills and learning performance. The results showed that the different recommendations designs had significant effects on students' SRL skills. The refined system adopted in the last cycle showed the greatest potential for promoting students' SRL skills, although no significant effect was found on their learning performance. These findings resulted in a set of design guidelines that can shed light on future literature, including: (a) incorporate personalization into the design rationale, (b) ensuring the ease of use of the system, (c) enriching users' learning experience, and (d) sustaining users' motivation.
41;Rhetorical Strategies Used by Information Technology Students in In-Class Presentations;Rhetoric plays an important role in helping information technology (IT) professionals communicate their ideas clearly and effectively. By employing rhetorical devices when speaking about technology topics, IT professionals can present logical and convincing arguments, and demonstrate their knowledge and expertise while engaging the audience and making complex technical concepts more accessible for non-experts. This study attempts to understand how IT students construct and develop persuasive arguments by analysing their use of rhetorical strategies in a sample of persuasive presentations delivered in the course ``English for IT '' . Both corpus analysis and manual analysis were used to identify different types of rhetorical strategies students employed to influence their audiences' attitudes. The results show that IT students not only created a logical appeal which might be more natural for them but also employed a wide range of rhetorical strategies and devices to establish disciplinary credibility and create a more personal connection with their audience, thus maintaining an appropriate balance of logos, ethos and pathos. The study further recommends systematic and careful rhetorical analysis of ESP (English for specific purposes) students' spoken language across disciplines and the consequent adaption of learning materials and teaching methods to improve ESP students' rhetoric skills.
42;Lexical Representation of Dense Numerical Vectors: Introducing Langvec;High-dimensional numerical vectors are widely used in machine learning for searching and indexing data. However, it is often difficult for users to interpret their meaning. To address this, we introduce a novel approach that transforms dense vectors into human-readable lexical representations using a percentile-based mapping approach. The essence of the approach is a mapping of words from a predefined/custom lexicon to vectors based on their relative local magnitudes. This way, it enables intuitive visualization of the semantic similarities and differences between complex data points and allows for domain-specific interpretability. It provides an easy way to deduplicate dense vectors (even near-duplicates) and can generate locality-aware hash-like representations, which can be used for efficient indexing and retrieval in various applications. The approach has also been implemented in an open-source library called LangVec. The paper provides examples on LangVec usage and highlights the key applications, including semantic search, recommendation systems, and clustering of numerical data into a human-readable format.
43;A multi-criteria course recommendation system based on the skyline BNL and top-kws algorithms;In today's digital age, online courses have become a valuable tool for learners to acquire new skills and knowledge. The global outbreak of COVID-19 has further accelerated the adoption of online learning as education service providers are forced to move their courses online to ensure the continuity of education. However, with many online courses, learners often find it challenging to select courses that meet their preferences and requirements. To address this issue, recommender systems (RS) have emerged as a popular solution for automatically analysing data and providing personalised recommendations to learners. Our previous work proposed a course RS based on the skyline block-nested-loops (BNL) algorithm. This algorithm filters courses based on multiple criteria, such as course duration, price, difficulty level, and rating, allowing learners to select courses that meet their specific preferences. However, the skyline BNL algorithm has limitations when learners must consider several criteria simultaneously. This limitation led us to propose a new RS that combines skyline BNL and top-k weighted sum (top-kws). The top-kws algorithm ranks courses based on a weighted sum of their features, allowing learners to select courses based on their relative importance.
44;Personalised recommendation method for MOOC online educational resources: collaborative filtering algorithm;In order to address the practical challenges associated with the low recall rate, accuracy, and user satisfaction in conventional personalised recommendation approaches for educational materials, a personalised recommendation method for MOOC online educational resources based on collaborative filtering algorithm is proposed. The mean shift clustering algorithm is used for clustering processing of MOOC platform data, and the MFA algorithm is used to dimensionality reduction process the clustering results. Learner interest are determined by considering the label preference based on frequency weight, time weight, comprehensive frequency and time, as well as learners' interest preferences for label clusters. Based on the analysis of learner interest, personalised recommendation of MOOC online education resources is achieved using a collaborative filtering algorithm based on semi-supervised learning. Experimental results show that the maximum recall rate of this method is 98.3\%, the maximum recommendation accuracy is 97.8\%, the mean learner satisfaction is 97.95, indicating good recommendation effectiveness.
45;An Automatic Optimal Course Recommendation Method for Online Math Education Platforms Based on Bayesian Model;"Online education platforms inject new vitality into the field of education, and greatly improves the accessibility to high-quality education resources. However, the current online education platforms do not support independent course selection based on personal preferences. To solve this problem, this paper designs an automatic recommendation method of optimal courses for online math education platforms based on Bayesian model. The results show that the Bayesian model can simulate the causal relationship between real-world affairs by building a graphic model based on the graph theory and the probability theory; the model can effectively merge priori and posteriori information, and encode the causality between knowledge points; the model clearly outshines user-based collaborative filtering model, term-based collaborative filtering model, and SlopeOne model, and achieves a stable accuracy rate in automatic recommendation of courses. The research provides an empirical evidence to the improvement and innovation of professional online math course platforms."
46;Enhancing Academic Decision-Making: A Pilot Study of AI-Supported Journal Selection in Higher Education;This pilot study explores the potential role of artificial intelligence (AI) technologies in enhancing the academic manuscript-to-journal matching process, focusing on Large Language Models (LLMs). Through a focused evaluation of LLM-based recommendation systems, the study analyzes their performance across 40 papers from four distinct disciplines: law, psychology, exact sciences, and engineering. The research uniquely compares LLM-generated journal suggestions to expert human evaluations, providing insights into LLM's strengths and limitations. Findings reveal that while LLMs excel in fields with well-established publishing norms, such as psychology and exact sciences, they struggle with interdisciplinary research, niche topics, and emerging fields, particularly in law and engineering. The study contributes new evidence by identifying specific patterns in LLM's performance across disciplines and highlighting critical challenges, such as regional journal biases and the inability to fully address innovative or complex methodologies. These insights establish a foundation for improving AI systems and emphasize the importance of integrating AI capabilities with human expertise for a balanced, efficient, and effective approach to journal selection.
47;Optimization Analysis and Implementation of Online Wisdom Teaching Mode in Cloud Classroom Based on Data Mining and Processing;The rapid development of Internet technology and information technology is rapidly changing the way people think, recognize, live, work and learn. In the context of Internet + education, the emerging learning form of a cloud classroom has emerged. Cloud classroom refers to the process in which learners use the network as a way to obtain learning objectives and learning resources, communicate with teachers and other learners through the network, and build their own knowledge structure. Because it breaks the boundaries of time and space, it has the characteristics of freedom, high efficiency and extensiveness, and is quickly accepted by learners of different ages and occupations. The traditional cloud classroom teaching mode has no personalized recommendation module and cannot solve an information overload problem. Therefore, this paper proposes a cloud classroom online teaching system under the personalized recommendation system. The system adopts a collaborative filtering recommendation algorithm, which helps to mine the potential preferences of users and thus complete more accurate recommendations. It not only highlights the core position of personalized curriculum recommendation in the field of online education, but also makes the cloud classroom online teaching mode more intelligent and meets the needs of intelligent teaching.
48;Reuse of e-learning personalization components;Personalized learning systems use several components in order to create courses adapted to the learners'characteristics. Current emphasis on the reduction of costs of development of new resources has motivated the reuse of the e-learning personalization components in the creation of new components. Several systems have been proposed in the literature. Each system implements a specific approach and includes a set of software components. However, many of these components are not easily reusable. This paper proposes an architecture, which aims to improve the representation of learning components in a reusable and interoperable way. As a result, these components could be integrated easily for the creation of personalized learning courses. This architecture consists of five main packages: learner model, adaptation model, reuse facilities, learner interface and pedagogical knowledge. An experiment is conducted to validate the proposed architecture. The obtained results illustrate the optimal composition of e-learning personalization components through an example.
49;Supervised Machine Learning Model to Predict the Bank Loan Application Using Binary Classification, Decision Tree and Random Forest;This paper presents an online fraud detection system that uses anomaly detection to monitor an individual's behavior pattern and compare it with its usage history, which is a representation of the user's normal behavior patterns. Fraud is indicated by any significant deviation from normal behavior. The mechanism suffers from three disadvantages. Limited observations from the historical data, assorted nature of transaction data, and highly distorted information lead to unusually high positive failure rates of anomaly detection. Therefore, we propose a ranking metric embedding-based multi-contextual behavior profiling (ReMEMBeR) model to incorporate the detection mechanism effectively. We transform the original anomaly detection problem into a pseudo-recommender system problem and solve it using a ranking metric embedding-based method. With collaborative filtering, an individual could utilize information from similar individuals implicitly and automatically, which alleviates the individual's possible lack of historical data. By the ranking scheme, the model is trained to maximize the ability to distinguish between legitimate and fraudulent transactions. This helps to make full use of label information and, thus, solves the data skewness problem to the utmost extent. The proposed model integrates multi-contextual behaviour patterns, from purely local to more global ones. Evaluating transactions against multi- contextual behaviour patterns could reduce the error rate and, hence, could bring down the false positive rate. By creating a contrast vector for each transaction based on the customer's past behavior sequence, we profile the differentiation rate of each current transaction against the customer's behavior preference.
50;Science teacher's assessment of their students' models;"This study explores science teachers' assessment of their students' models. The Questionnaire of Assessment Literacy (QALMBT-Modeling) was developed to investigate the range of in-service science teachers (ISTs)' assessment practices in model-based teaching (MBT). The questionnaire was informed by an assessment literacy (AL) framework and rooted in studies on modelling in science education. This Likert-type scale questionnaire was administered to 386 middle and high school science teachers in Chile. Statistical analyses demonstrated strong reliability and structural validity of the scale and exploratory factor analysis revealed three key dimensions of AL in MBT (ALMBT): (1) assessment strategies to elicit, evaluate, and support student modelling; (2) facilitation of student-led evaluation and refinement of models through peer and self-assessment, (3) and communication of assessment criteria for student models. Analysis of item-level data showed that while teachers frequently provide feedback and evaluate students' conceptual understanding of models, they less often involve students in peer/self-assessment or use student-generated criteria to assess models which are practices critical to epistemic growth in MBT. This work supports future efforts to refine assessment practices and promote reflective, model-rich science instruction, particularly during the evaluation and modification phases of the instructional cycle."
51;Sharing Digital Health Educational Resources in a One-Stop Shop Portal: Tutorial on the Catalog and Index of Digital Health Teaching Resources (CIDHR) Semantic Search Engine;Background: Access to reliable and accurate digital health web-based resources is crucial. However, the lack of dedicated search engines for non -English languages, such as French, is a significant obstacle in this field. Thus, we developed and implemented a multilingual, multiterminology semantic search engine called Catalog and Index of Digital Health Teaching Resources (CIDHR). CIDHR is freely accessible to everyone, with a focus on French-speaking resources. CIDHR has been initiated to provide validated, high-quality content tailored to the specific needs of each user profile, be it students or professionals. Objective: This study's primary aim in developing and implementing the CIDHR is to improve knowledge sharing and spreading in digital health and health informatics and expand the health-related educational community, primarily French speaking but also in other languages. We intend to support the continuous development of initial (ie, bachelor level), advanced (ie, master and doctoral levels), and continuing training (ie, professionals and postgraduate levels) in digital health for health and social work fields. The main objective is to describe the development and implementation of CIDHR. The hypothesis guiding this research is that controlled vocabularies dedicated to medical informatics and digital health, such as the Medical Informatics Multilingual Ontology (MIMO) and the concepts structuring the French National Referential on Digital Health (FNRDH), to index digital health teaching and learning resources, are effectively increasing the availability and accessibility of these resources to medical students and other health care professionals. Methods: First, resource identification is processed by medical librarians from websites and scientific sources preselected and validated by domain experts and surveyed every week. Then, based on MIMO and FNRDH, the educational resources are indexed for each related knowledge domain. The same resources are also tagged with relevant academic and professional experience levels. Afterward, the indexed resources are shared with the digital health teaching and learning community. The last step consists of assessing CIDHR by obtaining informal feedback from users. Results: Resource identification and evaluation processes were executed by a dedicated team of medical librarians, aiming to collect and curate an extensive collection of digital health teaching and learning resources. The resources that successfully passed the evaluation process were promptly included in CIDHR. These resources were diligently indexed (with MIMO and FNRDH) and tagged for the study field and degree level. By October 2023, a total of 371 indexed resources were available on a dedicated portal. Conclusions: CIDHR is a multilingual digital health education semantic search engine and platform that aims to increase the accessibility of educational resources to the broader health care-related community. It focuses on making resources ``findable, '' ``accessible, '' ``interoperable, '' and ``reusable '' by using a one -stop shop portal approach. CIDHR has and will have an essential role in increasing digital health literacy.
52;Ontology-Driven Project Recommendation for Intelligent Recommender System;The growing intersection of educational technology and personalized learning has led to the development of sophisticated Recommender Systems (RSs) that enhance learner engagement. This article introduces PEARL (Project Engagement and Affinity Recommender with Learning), a novel ontology-driven RS designed for Project-Based Collaborative Learning (PBCL) environments. PEARL integrates collaborative filtering, decision algorithms, and ontology-based personalization to generate context-aware project recommendations that align with learners' competencies and pedagogical goals. At the core of PEARL is an intelligent recommendation engine that employs feedback loops to iteratively refine predictions by analyzing learner interactions, project characteristics, and group dynamics. Empirical validation conducted in a Python programming course demonstrated the framework's effectiveness, achieving precision and recall rates of 82\% and 78\%, respectively. These metrics highlight PEARL's ability to deliver relevant and engaging project suggestions while maintaining a balance between individual personalization and collaborative team formation. PEARL has shown significant potential to improve learner engagement and project completion rates, establishing it as a valuable advancement in educational technology. These findings contribute to the development of adaptive and intelligent RS tailored for PBCL environments.
53;Learner Modeling in Educational Games Based on Fuzzy Logic and Gameplay Data;"Over the last years there has been a growing interest in the use of educational games as learning tools. Educational games have proven to contribute in enhancing student motivation, increasing their engagement and providing them with personalized and adaptive learning. Learner modeling is a prerequisite when it comes to adaptive learning; it is used to represent student's knowledge, needs, and characteristics. This paper presents a modeling technique based on fuzzy logic that uses gameplay data and expert rules to predict learners preferred learning and playing styles. To test the fuzzy rule-based systems, the educational game Woodland was designed bearing in mind the VARK learning styles and the Bartle playing styles. High school students played the educational game Woodland and the results of the FRBSs were compared with the result of the questionnaires. A great correlation was found between the FRBSs results and the questionnaire results."
54;Survey of Machine Learning Techniques for Student Profile Modelling;Developments in information technology have led to the emergence of several online platforms for educational purposes, such as e-learning platforms, e-recommendation systems, e-recruitment system, etc. These systems exploit advances in Machine Learning to provide services tailored to the needs and profile of students. In this paper, we propose a state of art on student profile modelling using machine learning techniques during last four years. We aim to analyse the most used and most efficient machine learning techniques in both online and face-to-face education context, for different objectives such as failure, dropout, orientation, academic performance, etc. and also analyse the dominant features used for each objective in order to achieve a global view of the student profile model. Decision Tree is the most used and the most efficient by most of research studies. And academic, personal identity and online behaviour are the top characteristics used for the student profile. To strengthen the survey results, an experiment was carried out, based on the application of machine learning techniques extracted from the state of art analysis, on the same datasets. Decision tree gave the highest performance, which confirms the survey results.
55;A Categorization of Workplace Learning Goals for Multi-Stakeholder Recommender Systems: A Systematic Review;Educational recommender systems offer benefits for workplace learning by tailoring the selection of learning activities to the individual's learning goals. However, existing systems focus on the learner as the primary stakeholder of learning processes and do not consider the organization's perspective. We conducted a systematic review to develop a categorization of workplace learning goals for multi-stakeholder recommender systems. Out of an initial set of 13,198 publications exported from databases, a final sample of 34 key publications was identified, according to predefined inclusion criteria. Content analysis and reflective exchange were deployed to synthesize workplace learning goals investigated in the key publications. We identified five categories of workplace learning goals that can be arranged along a dimension from intrinsic (goals set exclusively by the learner) to external (goals set exclusively by the organization). Our categorization provides a common language for multi-stakeholder recommender systems incorporating both the learner's and the organization's perspectives.
56;Extract Tacit Knowledge in the Learner Model of the Smart Tutoring System;Knowledge management (KM) is one of the main factors that have become extremely popular in recent years. KM is the processes which people explain information data using scientific and technological media and summarize it into concepts and rules to generate knowledge. This later can be implicit or explicit one. The aim of this contribution is to convert the tacit knowledge into explicit using Metaheuristics techniques. This paper aims to develop a model for converting tacit knowledge into explicit knowledge, using the Metaheuristics algorithm for the E-learning platform. For that purpose, the knowledge conversion process will respect the following steps: define the source of tacit knowledge and their methods, classify the tacit knowledge, then we evaluate the implicit knowledge conversion.
57;Memory-Based Dynamic Bayesian Networks for Learner Modeling: Towards Early Prediction of Learners' Performance in Computational Thinking;Artificial intelligence (AI) has demonstrated significant potential in addressing educational challenges in digital learning. Despite this potential, there are still concerns about the interpretability and trustworthiness of AI methods. Dynamic Bayesian networks (DBNs) not only provide interpretability and the ability to integrate data-driven insights with expert judgment for enhanced trustworthiness but also effectively process temporal dynamics and relationships in data, crucial for early predictive modeling tasks. This research introduces an approach for the temporal modeling of learners' computational thinking abilities that incorporates higher-order influences of latent variables (hereafter referred to as memory of the model) and accordingly predicts learners' performance early. Our findings on educational data from the AutoThinking game indicate that when using only first-order influences, our proposed model can predict learners' performance early, with an 86\% overall accuracy (i.e., time stamps 0, 5, and 9) and a 94\% AUC (at the last time stamp) during cross-validation and 91\% accuracy and 98\% AUC (at the last time stamp) in a holdout test. The introduction of higher-order influences improves model accuracy in both cross-validation and holdout tests by roughly 4\% and improves the AUC at timestamp 0 by roughly 2\%. This suggests that integrating higher-order influences into a DBN not only potentially improves the model's predictive accuracy during the cross-validation phase but also enhances its overall and time stamp-specific generalizability. DBNs with higher-order influences offer a trustworthy and interpretable tool for educators to foresee and support learning progression.
58;Early prediction of mid-term and final scores using deep learning models;The use of learner modelling approaches is critical for providing adaptive support in educational computer games, with predictive learner modelling being among the key approaches. While adaptive supports have been shown to improve the effectiveness of educational games, improperly customized support can have negative effects on learning outcomes. To tackle these challenges, we present a novel approach, called DeepLM, that considers a series of time windows representing both sequences of learners' actions during gameplay and estimation of their current competencies (using stealth assessment) to model learners and accordingly predict their future performance. The approach employs a variant of deep neural networks to early predict learners' midterm and final scores simultaneously. The results show that using 20-50\% of learners' action sequences can early predict their final scores, with a cross-validated convolutional neural network (CNN) achieving an area under the curve (AUC) and accuracy of 0.879 and 85.3\%, respectively. The same model can also achieve high accuracy in predicting midterm and final scores at the same time, with an AUC and accuracy of 0.848 and 77.9\%. Overall, the CNN model outperforms recurrent neural network, long short-term memory, and baseline multilayer perceptron (MLP) models in predicting learners' final performance and performs better than the baseline MLP model in predicting learners' midterm and final performance using both cross-validation and independent datasets. These findings show the potential of the proposed approach in accurately early predicting learners' performance, allowing educators and game designers to tailor interventions and support mechanisms that could lead to optimized learning outcomes.
59;A Personalized English Learning Material Recommendation System Based on Knowledge Graph;The world has rushed into the information age. As the lingua franca, English shapes the global landscape of information transmission and exchange. Mastering English is equivalent to possessing an important tool for acquiring precious information. Therefore, it is very necessary to improve English teaching. This paper analyzes the problems in traditional classroom teaching and online learning of English, and discusses how to keep students unbaffled in online learning, improve their English learning efficiency, and satisfy their personalized demands. Specifically, the relevant data were characterized by knowledge points in English teaching, and used to formulate a knowledge graph. Then, the related knowledge points were labeled in online learning data on learning platforms. After that, user portrait was created by analyzing the data on daily learning behaviors. Finally, collaborative filtering was coupled with content-based recommendation to push English learning resources to students, which meet their personalized demands.
60;An intelligent expert system for academic advising utilizing fuzzy logic and semantic web technologies for smart cities education;Students attending Higher Education Institutions (HEIs) are faced with a variety of complex decisions and procedures. To provide students with more sustained and personalized advising, many HEIs turn to online academic advising systems and tools as a way to minimize costs and streamline their advising services. However, in such systems, uncertainty in the learner's parameters is a factor, which makes the decision-making process more difficult. Fuzzy logic, a multivalued logic similar to human thinking and interpretation, is highly suitable and applicable for developing knowledge-based academic advising systems that conserve the inherent fuzziness in learner models. In this paper, an innovative hybrid software infrastructure is presented which integrates expert system, fuzzy reasoning, and ontological tools to provide reliable recommendations to students for the next appropriate learning step. The software comprises a fuzzy logic component that determines the student's interest degree for a specific academic choice accompanied by an ontological model and a conventional rule-based expert system for the composition of personalized learning pathways. In order for the system to recommend the next step of the learning pathway, the output of the fuzzy logic component together with the knowledge that is modeled as part of the multi-facet ontology and the machine perceptible academic advising guidelines expressed as semantic rules interoperate in a dynamic and seamless manner. The paper presents the key modeling artifacts of the proposed approach and the architecture of the implemented prototype system. During the case study, the developed system yielded satisfactory results in terms of overall inter-rater reliability and usefulness.
61;Mining Web Analytics Data for Information Wikis to Evaluate Informal Learning;Information wikis and especially Wikipedia have become one of the most attractive environments for informal learning. The nature of wikis enables learners to freely navigate the learning environment and independently construct knowledge without being required to follow a predefined learning path in line with the constructivist learning theory. Link-based navigation and keyword-based search methods used on Wikipedia and similar information wikis suffer from many limitations. In our paper, we present an effective recommendation system that provides easier and faster access to relevant content on Wikipedia to support informal learning. In addition, we evaluate the impact of personalized content recommendations on informal learning from Wikipedia and show how web analytics data can be used to get an insight on informal learning in similar environments.
62;Adaptive learning framework for learning computational thinking using educational robotics;Computational thinking (CT) has been promoted worldwide by educational systems and is an essential skill for technological citizens. Various strategies have been planned and developed to help in introducing, improving, and delivering CT. One of the strategies is by creating and developing the supporting tools for CT learning. In this article, educational robotics (ER) is chosen as the focus tool to support CT learning. Each CT and ER has a massive field of study. There are various available reports determining the suitability of CT subject integrated with ER for students' learning. However, all students do not develop similar style of learning and thinking. There is difference in their personal traits. There is a lack of research that designed CT learning through ER specifically based on student's preferences. Besides, it resulted in a challenge to determine the suitability of CT and ER for different kind of preferences. Therefore, this study aimed to develop an adaptive learning (AL) framework for students to deliver learning of CT through ER. The framework consists of three submodels: domain model, student model, and adaptation model. One case study is defined, which is learning the introductory level of CT through ER (CTER). At the end of the study, it can be observed that the AL framework produced positive results in performance and perception for various student categories. It was noted that students utilizing the AL framework had superior understanding of CTER. Individually or collaboratively, all students who applied or did not apply the AL framework in studying the CTER introduction had positive learning outcomes.
